pharmacy,commercial_name,formal_name,registro_sanitario,price,currency,availability,url,sku,brand,source_strategy,scraped_at,stock,component_text,registro_sanitario_source,component_traceable
Inkafarma,Aceite Facial de Vitamina E + Mascarilla Natural De Miel,Aceite Facial de Vitamina E + Mascarilla Natural De Miel,,75.90,PEN,available,https://inkafarma.pe/producto/aceite-facial-de-vitamina-e-mascarilla-natural-de-miel/1756500146947,1756500146947,GENÉRICO,algolia_public_search,2026-06-08T00:46:10.851909+00:00,,"Aceite de almendras Vitamina E 30ml - Rejuvenece El aceite de almendras es uno de los aceites esenciales más utilizados por sus múltiples propiedades naturales, que aportan hidratación y otros beneficios para la piel y el cabello, es un buen desmaquillante natural. Modo de uso: se recomienda usar después de la ducha o baño, después de la depilación y por la noche antes de acostarse, se recomienda también aplicarlo en el cabello con ligeros masajes. - Mascarilla Natural De Miel 30G X 10Pcs BIOAQUA Esta mascarilla a base de extracto de miel nutre tu rostro aportándole belleza y dejándolo más delicado. Gracias a su tacto sedoso, terso y suave, cuida la piel, hidratándola y mejorando la piel seca, pero sobre todo dejándola tersa, suave y llena de vitalidad. Modo de uso: Abre y coloca suavemente la mascarilla sobre el rostro, empezando por la frente, los ojos, la nariz y luego bajando hasta el mentón, adaptándola a la forma de tu rostro. Cuidado Facial Limpieza Facial",,false_no_registro_sanitario
Inkafarma,Aceite Facial de Vitamina E + Mascarilla Negra Hyaluronan,Aceite Facial de Vitamina E + Mascarilla Negra Hyaluronan,,75.90,PEN,available,https://inkafarma.pe/producto/aceite-facial-de-vitamina-e-mascarilla-negra-hyaluronan/1756500063023,1756500063023,GENÉRICO,algolia_public_search,2026-06-08T00:46:10.852350+00:00,,"Aceite de almendras Vitamina E 30ml - Rejuvenece El aceite de almendras es uno de los aceites esenciales más utilizados por sus múltiples propiedades naturales, que aportan hidratación y otros beneficios para la piel y el cabello, es un buen desmaquillante natural. Modo de uso: se recomienda usar después de la ducha o baño, después de la depilación y por la noche antes de acostarse, se recomienda también aplicarlo en el cabello con ligeros masajes. - Mascarilla Negra Hidratante Hyaluronan 30G X 10 Uds - Bioaqua Contiene ingredientes humectantes, complementa la piel con la humedad y los nutrientes necesarios. Contiene humedad nutritiva para darle ternura a la piel. La mascarilla nutre e hidrata durante mucho tiempo. Ideal para usar por la mañana para darle a la piel un aspecto fresco durante todo el día. Mientras aplicas la mascarilla, el ácido hialurónico hidrata tu piel, ¡permitiendo que la mascarilla sea más efectiva! Hidratación y ternura para la belleza con la black mask. Material de algodón agradable para la piel para un cuidado delicado y nutritivo. Instrucciones de uso: Después de la limpieza facial, aplique la mascarilla en el rostro y cerca de la piel. Remover después de 15 a 20 minutos, luego masajee suavemente la piel del rostro con la palma. Masajear la esencia hasta su total absorción y lavar con agua limpia Cuidado Facial Limpieza Facial",,false_no_registro_sanitario
Inkafarma,Aceite Facial de Vitamina E + Crema Hidratante con Pepino,Aceite Facial de Vitamina E + Crema Hidratante con Pepino,,75.90,PEN,available,https://inkafarma.pe/producto/aceite-facial-de-vitamina-e-crema-hidratante-con-pepino/1756499916426,1756499916426,GENÉRICO,algolia_public_search,2026-06-08T00:46:10.852742+00:00,,"Aceite de almendras Vitamina E 30ml - Rejuvenece El aceite de almendras es uno de los aceites esenciales más utilizados por sus múltiples propiedades naturales, que aportan hidratación y otros beneficios para la piel y el cabello, es un buen desmaquillante natural. Modo de uso: se recomienda usar después de la ducha o baño, después de la depilación y por la noche antes de acostarse, se recomienda también aplicarlo en el cabello con ligeros masajes. - Crema Exfoliante Corporal Hidratante de Pepino Bioaqua Crema Corporal de agua contiene extracto de pepino con un gran efecto hidratante, repone la humedad y mejora la piel seca. Sus poderosas moléculas hidratantes hacen que la piel se vuelva tersa, firme y elástica. Modo de uso: Enjuagar el cuerpo con agua, después aplicar la cantidad deseada del exfoliante y masajear durante un minuto. Retirar los residuos de piel muerta, la suciedad y el producto sobrante con abundante agua. Inmediatamente notará un cambio en el aspecto de la piel, acompañado de una suavidad y sedosidad. Cuidado Facial Crema facial",,false_no_registro_sanitario
Inkafarma,Magnesio Marino Y Vitamina B6,Magnesio Marino Y Vitamina B6,DE-300,60.00,PEN,available,https://inkafarma.pe/producto/magnesio-marino-y-vitamina-b6/1769144581107,1769144581107,ORIFLAME,algolia_public_search,2026-06-08T00:46:10.853141+00:00,,"Magnesio Marino y Vitamina B6 es un complemento alimenticio diario diseñado para favorecer la relajación y la recuperación, especialmente útil para la recuperación muscular después de una actividad física intensa, o si tiene muchas cosas en la cabeza y le cuesta relajarse mentalmente. Alto contenido en magnesio y vitamina B6 Magnesio marino de alta biodisponibilidad Aquamin-Mg Apto para vegetarianos ¿Espasmos musculares? ¿Dificultad para desconectar? ¿Problemas para dormir? ¿Siente fatiga? Todos estos síntomas pueden deberse a una carencia de magnesio. El magnesio es una auténtica superestrella mineral: es necesario para más de 300 procesos corporales, pero muchas personas no obtienen la cantidad suficiente de los alimentos que consumen (Pickering et al., 2020). El esfuerzo físico y mental intenso exige mucho magnesio, lo que puede provocar una insuficiencia de magnesio en el organismo (Lopresti, 2020). Las investigaciones demuestran que los suplementos de magnesio ayudan a aliviar los síntomas del estrés psicológico, como la irritabilidad, la fatiga y la falta de sueño (Pickering et al., 2020). El magnesio y la vitamina B6 trabajan en sinergia para contribuir a la relajación física y mental. Suplementos / Complementos Adulto",page_or_detail_regex,false_no_component_match
Inkafarma,Pack Crema Aclaradora V7 50g + Crema Facial Vitamin C 30g - BIOAQUA,Pack Crema Aclaradora V7 50g + Crema Facial Vitamin C 30g - BIOAQUA,,56.00,PEN,available,https://inkafarma.pe/producto/pack-crema-aclaradora-v7-50g-crema-facial-vitamin-c-30g-bioaqua/1755552135241,1755552135241,BIOAQUA,algolia_public_search,2026-06-08T00:46:10.853929+00:00,,"Pack Crema Aclaradora V7 50g + Crema Facial Vitamin C 30g – BIOAQUAIdeal para:Personas que desean aclarar el rostro, reducir manchas y aportar luminosidad antioxidante con un cuidado facial hidratante y uniforme.Beneficios:Crema V7 con múltiples vitaminas que aclaran y unifican el tono de la piel.Crema Facial Vitamin C con efecto antioxidante que aporta luminosidad y ayuda a combatir manchas y signos de fatiga.Combate el aspecto opaco, hidrata y mejora la textura del rostro.Fórmulas ligeras y nutritivas que dejan la piel más uniforme y radiante.Ideal para uso diario en pieles que buscan aclarar e iluminar al mismo tiempo.Modo de uso:Aplicar la Crema V7 sobre la piel limpia por la mañana o noche. Alternar o complementar con la Crema Vitamin C aplicándola de preferencia en el día para potenciar brillo y protección antioxidante. Uso diario.Advertencia:Uso externo. Evitar contacto con los ojos. Suspender uso si observa irritación. Mantener fuera del alcance de los niños. Cuidado Facial Crema facial",,false_no_registro_sanitario
Inkafarma,Pack Crema Aclaradora V7 50g + Exfoliante Vitamin C 100g - BIOAQUA,Pack Crema Aclaradora V7 50g + Exfoliante Vitamin C 100g - BIOAQUA,,56.00,PEN,available,https://inkafarma.pe/producto/pack-crema-aclaradora-v7-50g-exfoliante-vitamin-c-100g-bioaqua/1755552130753,1755552130753,BIOAQUA,algolia_public_search,2026-06-08T00:46:10.854328+00:00,,"Pack Crema Aclaradora V7 50g + Exfoliante Vitamin C 100g – BIOAQUAIdeal para:Personas que buscan un tratamiento facial que aclare el tono, reduzca manchas y renueve la piel eliminando células muertas, aportando luminosidad y suavidad al rostro.Beneficios:Crema V7 con vitaminas que ayudan a aclarar, hidratar y uniformar el tono de la piel.Exfoliante Vitamin C que elimina impurezas y células muertas, aportando brillo y efecto antioxidante.Mejora la textura, aporta suavidad y sensación de limpieza profunda.Combate el tono apagado, manchas leves y signos de fatiga.Ideal para pieles opacas o con tono desigual que buscan un efecto iluminador.Modo de uso:Usar el exfoliante sobre la piel húmeda 2–3 veces por semana, masajear suavemente y enjuagar. Luego aplicar la crema V7 sobre el rostro seco, masajeando hasta su completa absorción. La crema puede usarse diariamente.Advertencia:Uso externo. Evitar contacto con los ojos. Suspender su uso si observa irritación. Mantener fuera del alcance de los niños. Cuidado Facial Crema facial",,false_no_registro_sanitario
Inkafarma,Vitamina C - Rosa Mosqueta - Nutricost - 240 Cápsulas,Vitamina C - Rosa Mosqueta - Nutricost - 240 Cápsulas,,168.90,PEN,available,https://inkafarma.pe/producto/vitamina-c-rosa-mosqueta-nutricost-240-capsulas/1765829249160,1765829249160,NUTRICOST,algolia_public_search,2026-06-08T00:46:10.854674+00:00,,"Contiene 240 cápsulas de vitamina C combinada con rose hips (escaramujo), un fruto natural rico en vitamina C y flavonoides que potencia su efectividad. Esta fórmula contribuye al fortalecimiento del sistema inmunológico, apoya la producción de colágeno para una piel, huesos y articulaciones saludables, y actúa como un potente antioxidante, protegiendo a las células del daño oxidativo. Además, ayuda a reducir el cansancio, mejorar la absorción de hierro y apoyar la salud cardiovascular. Tomar 1 cápsula al día con suficiente agua, preferentemente durante las comidas o según indicación de un profesional de la salud.Este producto es un complemento alimenticio y no sustituye una alimentación equilibrada ni un estilo de vida saludable. Mantener fuera del alcance de los niños. No exceder la cantidad diaria recomendada. Conservar en un lugar fresco y seco, protegido de la luz directa. Suplementos Nutricionales Naturales",,false_no_registro_sanitario
Inkafarma,Ashwagandha de Alta Potencia con Pimienta Negra Equilibrio y Energía,Ashwagandha de Alta Potencia con Pimienta Negra Equilibrio y Energía,,169.00,PEN,available,https://inkafarma.pe/producto/Ashwagandha-de-Alta-Potencia-con-Pimienta-Negra--Equilibrio-y-Energía/1778987881269,1778987881269,VITAMINA,algolia_public_search,2026-06-08T00:46:10.855050+00:00,,"Descripción Encuentra tu equilibrio diario y combate el desgaste físico y mental con Ashwagandha de Horbäach. Esta fórmula de máxima fuerza combina el poder adaptógeno de la Ashwagandha con extracto de Pimienta Negra, un ingrediente clave que maximiza la absorción del suplemento en tu cuerpo. Ideal para hombres y mujeres que buscan reducir el estrés, mejorar el descanso y optimizar su vitalidad natural Beneficios Principales Poderoso Adaptógeno Natural: Ayuda al organismo a adaptarse y gestionar los niveles de estrés diario, promoviendo la calma y el enfoque mental. Máxima Absorción (Pimienta Negra): Enriquecido con extracto de pimienta negra para garantizar que los nutrientes se asimilen de forma rápida y eficiente. Fórmula de Máxima Fuerza: Aporta una alta concentración de este extracto herbal tradicional por porción para obtener resultados notables. Apoyo al Descanso y Energía: Favorece un sueño más reparador por las noches y ayuda a mantener niveles óptimos de energía durante el día. Suplementos Nutricionales Adultos",,false_no_registro_sanitario
Inkafarma,Aceite de Pescado Nature s Bounty 1000 mg apoya la salud del coraz0,Aceite de Pescado Nature s Bounty 1000 mg apoya la salud del coraz0,,169.00,PEN,available,https://inkafarma.pe/producto/aceite-de-pescado-nature-s-bounty-1000-mg-apoya-la-salud-del-coraz0/1775530371631,1775530371631,VITAMINA,algolia_public_search,2026-06-08T00:46:10.855381+00:00,,"Resumen del Producto: El Aceite de Pescado de Nature's Bounty es una fuente natural de ácidos grasos Omega-3, esenciales para el bienestar integral. Elaborado bajo estrictos procesos de purificación para eliminar el mercurio y otros contaminantes, este suplemento ofrece una forma práctica y segura de complementar tu nutrición diaria. Beneficios Destacados: Soporte Cardiovascular: Contribuye al mantenimiento de una función cardíaca saludable y al equilibrio de las grasas en la sangre dentro de niveles normales. Ácidos Grasos Omega-3: Aporta EPA y DHA, nutrientes clave que apoyan la salud celular y el bienestar del sistema circulatorio. Tecnología de Liberación Rápida: Sus cápsulas blandas ( softgels ) están diseñadas para facilitar la absorción de los nutrientes por el organismo. Pureza Garantizada: Producto purificado para asegurar la ausencia de metales pesados, cumpliendo con estándares internacionales de calidad. Suplementos Nutricionales Adultos",,false_no_registro_sanitario
Inkafarma,Parches de Ojos de Vitamina C Fruit of The Wokali 3 Unidades,Parches de Ojos de Vitamina C Fruit of The Wokali 3 Unidades,,101.90,PEN,available,https://inkafarma.pe/producto/parches-de-ojos-de-vitamina-c-fruit-of-the-wokali-3-unidades/1682440241520,1682440241520,Fruit of the Wokali,algolia_public_search,2026-06-08T00:46:10.855712+00:00,,"Hidrata suavemente la piel la piel de los ojos y al mismo tiempo disminuye la ojeras y bolsas que se forman debajo de los ojos dando un aspecto hidratante. Caracteristicas: · Hidratación Profundas · Ojeras claras · Reducir las líneas finas Beneficio: · Mejora la bolsa de ojos con borde negro en los ojos. · Reuce el edema ocular y ayuda a eliminar las ojeras · Ayuda a aliviar las lineas finas y las patas de gallo Modo de uso: Después de limpiar y tonificar, aplique el parche en el área debajo de los ojos con la espátula proporcionada y retire después de 15-20 minutos. Precaución: Evite el contacto con los ojos, mantener fuera del alcance de los niños, mantener en un lugar fresco. Belleza y Accesorios Belleza Facial",,false_no_registro_sanitario
