item,Distribuidor,Producto,Fabricante,composicion_por,Forma Farmacéutica,Procedencia,Liberación,Composición,Vías de Administración,Presentación,codigo_atc,descripcion_clasificacion,grupo_atc_3,grupo_atc_4
DE3020,ANDES NUTRITION S.A.C,NECTAR SWEETS VANILLA BEAN TORTE .,"SIO3,INC",DOSIS 7.00 g,POLVO PARA SUSPENSION ORAL,ESTADOS UNIDOS DE AMERICA,INMEDIATA,POR DOSIS 7.00 g - AISLADO DE PROTEINA DE SUERO DE LECHE 6.760000 g,ORAL,"Pote de polietileno de alta densidad morado x 7g, 14g, 27g, 28g, 134g, 907g, 2720g y 5440g conteniendo cuchara dosificadora de polietileno de alta densidad color morado (28g), con tapa de polietileno de alta densidad negro. Bolsa de polietileno de baja densidad/aluminio/politereftalato de etileno morado, con cierre cremallera de polipropileno x 7g, 14g, 27g, 28g, 134g y 907g, 2720g y 5440g conteniendo cuchara dosificadora de polietileno de alta densidad color morado (28g). Caja conteniendo 12, 20 y 50 sobres de poli(tereftalato de etileno)/ poli(tereftalato de etileno)metalizado/ polietileno color crema o morado por 28g, incluye cuchara dosificadora (28g) de PEAD color morado. Bolsa de poli(tereftalato de etileno)/poli(tereftalato de etileno)metalizado/polietileno blanco, con cierre cremallera de polipropileno por 28g, 907g, 2270g, 5440g conteniendo cuchara dosificadora de polietileno de alta densidad color morado (28g).",V03A,TODO EL RESTO DE LOS PRODUCTOS TERAPÉUTICOS,V03,V03A
DE3022,PRO NUTRITION SOCIEDAD COMERCIAL DE RESPONSABILIDAD LIMITADA,WHEY VANILLA ICE CREAM FLAVOUR (MUTANT) .,FIT FOODS LTD.,DOSIS 36.00 g,POLVO PARA SOLUCION ORAL,CANADA,INMEDIATA,POR DOSIS 36.00 g - CONCENTRADO DE PROTEINA DE SUERO DE LECHE 26.000000 g AISLADO DE PROTEINA DE SUERO DE LECHE 0.500000 g,ORAL,"Bolsa de polietileno de densidad media - aluminio - PEBD o Bolsa de PEBD - aluminio - poliéster o Bolsa de PEBD - aluminio - PET rojo, negro o dorado por 36 g, 280 g 454 g, 900 g, 907 g, 908 g,1800 g, 2 270 g, 3 175.1g , 4 535.9 g, 4540 g, 5 443 g, 6 800 g, 7 257.4 g, 7 711 g, 9 071.8 g y 9 979 g con cuchara medidora de polipropileno amarillo. Frasco de PEAD o PET rojo o negro 280 g, 454 g, 900 g, 907g, 908 g 1800 g, 2 270 g, 3 175.1 g, 4 535.9 g, 4540 g , 5 443 g, 6 800 g, 7 257.4 g, 7 711 g, 9 071.8 g y 9 979 g con cuchara medidora de polipropileno amarillo",A11AA03,"Multivitamínicos con otros minerales, incl. combinaciones",A11,A11A
DE3023,PRO NUTRITION SOCIEDAD COMERCIAL DE RESPONSABILIDAD LIMITADA,AMINO (MUTANT) .,FIT FOODS LTD.,MILILITRO,TABLETA,CANADA,INMEDIATA,PROTEINA HIDROLIZADA DE SUERO 400.000000 mg TAURINA 300.000000 mg L-TREONINA 300.000000 mg,ORAL,"Frasco PEAD o PET negro por 100, 200, 300, 390, 450, 500 y 600 tabletas",A11AA03,"Multivitamínicos con otros minerales, incl. combinaciones",A11,A11A
DE3027,PHARMACEUTICAL DISTOLOZA S.A.,BIOLACTERI-PD® 26.5MG,ALAX BIORESEARCH PVT. LTD.,COMPRIMIDO,COMPRIMIDO MASTICABLE,INDIA,INMEDIATA,LACTOBACILLUS REUTERI 26.500000 mg,ORAL,"caja de cartón conteniendo lamina blíster de PVC/OPA/ALU/PVC color plateado con 2, 10, 20, 30, 50, 100 y 500 comprimidos masticables.",V03A,TODO EL RESTO DE LOS PRODUCTOS TERAPÉUTICOS,V03,V03A
DE3029,FUTURE PHARMA SOCIEDAD ANONIMA CERRADA,ISO- XP VANILLA .,APPLIED NUTRITION PLC,DOSIS 25.00 g,POLVO ORAL,REINO UNIDO,INMEDIATA,POR DOSIS 25.00 g - AISLADO DE PROTEINA DE SUERO DE LECHE 24.700000 g,ORAL,"Frasco de polietileno de alta densidad o de polietileno tereftalato, color blanco, negro, azul, celeste, azul transparente, celeste transparente, plomo y/o plomo transparente, por 500g, 800g, 900g, 950g, 1000g, 1100g, 1200g, 1800g, 2000g, 2100g, 2200g, 2227g, con tapa de PET o PEAD, color azul, celeste, gris, blanco y/o negro, con cuchara dosificadora de polipropileno incolora, blanca, azul o celeste por 25g. Bolsas de polietileno de baja densidad/aluminio/politereftalato de etileno o de polietileno de baja densidad/aluminio/poliester plateado, gris, dorado, blanco o negro con cierre cremallera de polipropileno, por 100g, 200g, 400g, 450g, 500g, 800g, 1000g, 1800g, 2000g, 2227g, 2500g, 3000g, 3500g, 4000g, con cuchara dosificadora de polipropileno incolora, blanca, azul o celeste por 25g. Sobre de poli(tereftalato de etileno)/aluminio/polietileno de baja densidad plateado, negro, gris, dorado, celeste, blanco o azul por 25g.",V03A,TODO EL RESTO DE LOS PRODUCTOS TERAPÉUTICOS,V03,V03A
DE3033,QUIMFA PERU S.A.C.,PENTASURE® INMUNOMAX .,HEXAGON NUTRITION LIMITED,SUPOSITORIO,POLVO ORAL,INDIA,INMEDIATA,PROTEINAS TOTALES (CONCENTRADO DE PROTEINA DE SUERO Y HIDROLIZADO DE PROTEINA DE SUERO) 14.000000 g CARBOHIDRATOS 32.900000 g,ORAL,"Caja de cartón dúplex por 1, 4, 6, 8, 12, 13. 15, 18,20, 25, 30, 50, 100 sobres de tereftalato de polietileno/aluminio/polietileno x 61 g. 1 sobres de tereftalato de polietileno/aluminio/polietileno color plateado x 61 g . REF. EXPEDIENTE 25083041-1 del 09-07-2025",A16AX,Productos varios para el tracto alimentario y el metabolismo,A16,A16A
DE3034,FUTURE PHARMA SOCIEDAD ANONIMA CERRADA,ANABOLIC ISO WHEY VANILLA .,FITNESS AUTHORITY SP. Z O.O.,DOSIS 30.00 g,POLVO PARA SUSPENSION ORAL,POLONIA,INMEDIATA,POR DOSIS 30.00 g - AISLADO DE PROTEINA DE SUERO DE LECHE 24.693000 g CREATINA MONOHIDRATO 3.000000 g TAURINA 1.000000 g ACIDO ASPARTICO 0.500000 g,ORAL,"Frasco de PEAD o PET negro,blanco, plomo, y dorado por 1000g, 2000g, 2270g, con tapa de PEAD oPET negro, blanco, plomo y dorado con cuchara dosificadora de polipropileno incoloro, negro, blanco, plomo y dorado por 30g. Sobre depoli(tereftalato de etileno)/aluminio/polietileno de baja densidadplateado, negro, gris, dorado, celeste, blanco o azul por 30g",V03A,TODO EL RESTO DE LOS PRODUCTOS TERAPÉUTICOS,V03,V03A
DE3039,PRO NUTRITION SOCIEDAD COMERCIAL DE RESPONSABILIDAD LIMITADA,HARDCORE ISO CHOCOLATE FUDGE BROWNIE .,FIT FOODS LTD.,DOSIS 32.00 g,POLVO PARA SOLUCION ORAL,CANADA,INMEDIATA,POR DOSIS 32.00 g - AISLADO DE PROTEINA DE SUERO DE LECHE 19.747000 g PROTEINA HIDROLIZADA DE SUERO 9.292700 g,ORAL,"Bolsa de polietileno de densidad media-aluminio-polietileno de baja densidad ó Bolsa de polietileno de baja densidad-Aluminio-poliéster ó Bolsa de polietileno de baja densidad- aluminio--polietileno tereftalato rojo,negro ó dorado por 32 g, 454 g,727g, 907g, 908g ,1814g, 2270g ,2722g, 4540g,con cuchara medidora de polipropileno amarillo. Frasco de polietileno de alta densidad ó polietileno tereftalato rojo, negro conteniendo 454g, 727g, 907g, 908g, 1814g, 2270g, 2722g, 4540g, con cuchara medidora de polipropileno amarillo",V03A,TODO EL RESTO DE LOS PRODUCTOS TERAPÉUTICOS,V03,V03A
DE3048,FUTURE PHARMA SOCIEDAD ANONIMA CERRADA,EAA FRUIT PUNCH .,FITNESS AUTHORITY SP. Z O.O.,DOSIS 6.20 g,POLVO PARA SUSPENSION ORAL,POLONIA,INMEDIATA,"POR DOSIS 6.20 g - L-LEUCINA 918.000000 mg L-ISOLEUCINA 442.000000 mg L-VALINA 518.000000 mg MONOCLORHIDRATO DE LISINA 1,199.000000 mg L-TREONINA 667.000000 mg L-FENILALANINA 500.000000 mg L-METIONINA 432.000000 mg L-HISTIDINA 100.000000 mg L-TRIPTOFANO 77.000000 mg",ORAL,"Frasco de polietileno de alta densidad ó frasco de polietileno tereftalato de color blanco, negro, gris, dorado o plomo por 195g, 390g, 780g ,930g y 1170g, con tapa de PEAD o PET negro, blanco, plomo o dorado, con cuchara dosificadora de polipropileno incoloro, negro, blanco, plomo o dorado por 6.2g.",V06B,SUPLEMENTOS PROTEICOS,V06,V06B
DE3049,FARMINDUSTRIA S.A.,BIOGAIA PROTECTIS BABY GOTAS CON VITAMINA D3 .,BIOGAIA PRODUCTION AB,DOSIS 5.00,SUSPENSION ORAL,SUECIA,INMEDIATA,POR DOSIS 5.00 - LACTOBACILLUS REUTERI 20.000000 mg VITAMINA D3 400.000000 UI,ORAL,"Caja de cartón conteniendo frasco de vidrio tipo III ámbar por 2 mL, 5 mL y 10 mL con dispositivo desecante, tapón gotero de PEBD incoloro y tapa de PEAD blanca. Caja de cartón conteniendo frasco gotero de polímero laminado de aluminio blanco (Polipropileno/Polipropileno cast/ Aluminio /Polipropileno orientado) por 2 mL y 5 mL con dispositivo desecante, tapón gotero de PEBD blanco y tapa de homopolímero de polipropileno blanco",A07FA51,"Ácido láctico, organismos productores de, combinaciones",A07,A07F
