item,Distribuidor,Producto,Fabricante,composicion_por,Forma Farmacéutica,Procedencia,Liberación,Composición,Vías de Administración,Presentación,codigo_atc,descripcion_clasificacion,grupo_atc_3,grupo_atc_4
DE0238,QUALIPHARM S.R.LTDA.,CREVET 500 mg,PRATER S.A.,COMPRIMIDO,COMPRIMIDO MASTICABLE,CHILE,INMEDIATA,ACIDO ASCORBICO 200.000000 mg ASCORBATO DE SODIO 337.440000 mg,MASTICABLE,"Caja de cartón conteniendo envase blíster de PVC incoloro y aluminio plateado x 8, 16, 32, 50, 64, 96 y 100 comprimidos masticables",A11GA01,Ácido ascórbico (vit C),A11,A11G
DE02495,FARMINDUSTRIA S.A.,VIPLENA,SOFTGEL HEALTHCARE PVT LTD,CAPSULA,CAPSULA BLANDA,INDIA,INMEDIATA,ACIDO FOLICO 1.000000 mg NICOTINAMIDA 8.190000 mg ZINC 0.200000 mg ACIDO EICOSAPENTAENOICO (EPA) 25.000000 mg D-PANTOTENATO DE CALCIO 17.500000 mg CLORHIDRATO DE PIRIDOXINA 1.050000 mg ACIDO DOCOSAHEXAENOICO (PESCADO) 300.000000 mg VITAMINA B2 2.200000 mg COBRE 1.000000 mg MAGNESIO 14.000000 mg MANGANESO 1.000000 mg NITRATO DE TIAMINA 2.500000 mg POTASIO (CITRATO DE POTASIO-FOSFATO MONOPOTASICO) 8.000000 mg SULFATO DE COBALTO 50.000000 MCG VITAMINA A 561.000000 UI ACIDO ASCORBICO 42.000000 mg CIANOCOBALAMINA 1.150000 MCG D-ALFA TOCOFEROL 10.500000 UI VITAMINA D3 440.000000 UI FLUORURO DE SODIO 90.000000 MCG MOLIBDENO 51.000000 MCG,ORAL,"Caja de cartulina con 1, 2, 3, 4, 5, 6, 7, 8, 9, 10, 12, 14, 15, 16, 20, 21, 24, 28, 30, 40, 48, 50, 60, 70, 80, 90, 100, 120, 150 y 200 cápsulas blandas en envase blíster de Aluminio-PVC/PVDC incoloro",A11AA02,Multivitamínicos con calcio,A11,A11A
DE0254,BAYER S.A.,BEROCCA PLUS,DELPHARM GAILLARD,COMPRIMIDO,COMPRIMIDO EFERVESCENTE,FRANCIA,INMEDIATA,ACIDO ASCORBICO 500.000000 mg CALCIO 100.000000 mg CIANOCOBALAMINA 0.010000 mg MAGNESIO 100.000000 mg NICOTINAMIDA 50.000000 mg PANTOTENATO DE CALCIO 25.000000 mg CLORHIDRATO DE PIRIDOXINA 10.000000 mg RIBOFLAVINA FOSFATO SODICO DIHIDRATO 20.510000 mg CLORHIDRATO DE TIAMINA 18.540000 mg ZINC 10.000000 mg ACIDO FOLICO 400.000000 MCG BIOTINA 0.150000 mg,ORAL,caja de cartón conteniendo un tubo de aluminio plateado con 10 comprimidos efervescentes; caja de cartón conteniendo un tubo o dos tubos de polipropileno blanco con 10 y 15 comprimidos efervescentes cada uno,A16,OTROS PRODUCTOS PARA EL TRACTO ALIMENTARIO Y METABOLISMO,A16,A16
DE0271,FAES FARMA PERU S.A.C.,POTENCIATOR 5 g,FAES FARMA S.A.,PARCHE,SOLUCION,ESPAÑA,INMEDIATA,ASPARTATO DE ARGININA 5.000000 g,ORAL,"Caja de cartoncillo folding reverso madera con 5, 10, 20, 30, 50 ampollas bebibles color naranja de PVC-PVDC-PE x 10 mL c/u. AMPLIACION DE FORMA DE PRESENTACION EXP 19-063611-1 COMUNICACION Caja de cartoncillo folding reverso madera con 2, 5, 10, 20, 30, 50 ampollas bebibles color naranja de PVC-PVDC-PE x 10 mL c/u.",A16,OTROS PRODUCTOS PARA EL TRACTO ALIMENTARIO Y METABOLISMO,A16,A16
DE0295,BAYER S.A.,SUPRADYN PRONATAL,BAYER S.A.,COMPRIMIDO,COMPRIMIDO RECUBIERTO,ARGENTINA,PROLONGADA,"ACIDO FOLICO 0.800000 mg FOSFATO MONO POTASICO-PIROFOSFATO FERRICO-FOSFATO TRI CALCICO 125.000000 mg MAGNESIO 100.000000 mg MANGANESO 1.000000 mg NICOTINAMIDA 19.000000 mg PANTOTENATO DE CALCIO 10.000000 mg VITAMINA E (TOCOFEROL) 15.000000 mg VITAMINA D3 500.000000 UI ZINC 7.500000 mg VITAMINA A 4,000.000000 UI VITAMINA C 100.000000 mg VITAMINA B1 1.600000 mg VITAMINA B12 4.000000 MCG VITAMINA B2 1.800000 mg VITAMINA B6 2.600000 mg BIOTINA 0.200000 mg CALCIO 125.000000 mg COBRE 1.000000 mg HIERRO 60.000000 mg",ORAL,"Ref.22-115376-1 del 12-10-2022 Caja de cartulina x 8, 10, 20, 30, 50, 60 y 100 comprimidos recubiertos en blister de PVC/PE/PVDC incoloro.- aluminio Caja de cartulina x 8, 10, 20, 30, 50, 60 y 100 comprimidos recubiertos en blister de PVC/PCTFE (ACLAR) incoloro - aluminio plateado.",A11AA03,"Multivitamínicos con otros minerales, incl. combinaciones",A11,A11A
DE0334,UNIMED DEL PERU S.A.,TAMIN B NF,PROCAPS S.A.,CAPSULA,CAPSULA BLANDA,COLOMBIA,INMEDIATA,NICOTINAMIDA 50.000000 mg CLORHIDRATO DE PIRIDOXINA 50.000000 mg RIBOFLAVINA 5.000000 mg MONONITRATO DE TIAMINA 25.000000 mg,ORAL,"Caja de cartón x 2, 3, 5, 10, 20, 30, 50, 100, 200, 300 y 500 cápsulas blandas en blíster PVC incoloro y aluminio plateado",A11EA,Vitaminas del complejo B solas,A11,A11E
DE0340,BAYER S.A.,SUPRADYN,BAYER S.A.,GRAGEA,GRAGEA,ARGENTINA,INMEDIATA,"ACIDO FOLICO 1.000000 mg FOSFATO MONO POTASICO-PIROFOSFATO FERRICO-FOSFATO TRI CALCICO 23.800000 mg MAGNESIO 21.200000 mg MANGANESO 0.500000 mg MOLIBDENO 0.100000 mg NICOTINAMIDA 50.000000 mg PANTOTENATO DE CALCIO 11.600000 mg VITAMINA E (TOCOFEROL) 10.000000 mg VITAMINA D3 500.000000 UI ZINC 1.000000 mg VITAMINA A 3,333.000000 UI VITAMINA C 150.000000 mg VITAMINA B1 20.000000 mg VITAMINA B12 5.000000 MCG VITAMINA B6 10.000000 mg BIOTINA 250.000000 MCG CALCIO 51.300000 mg COBRE 1.000000 mg HIERRO 10.000000 mg",ORAL,Caja de carton x 30 grageas en envase blister de PVC/PVDC incoloro - aluminio.,A11AA03,"Multivitamínicos con otros minerales, incl. combinaciones",A11,A11A
DE0371,CORPORACION ARION SOCIEDAD ANONIMA CERRADA/CORPORACION ARION S.A.C.,VITAMIN C 1000 mg,MASON VITAMINS INC.,TABLETA,TABLETA,ESTADOS UNIDOS DE AMERICA,INMEDIATA,"ACIDO ASCORBICO 1,000.000000 mg",ORAL,frasco de politereftalato de etileno de color ámbar con tapa de polietileno de baja densidad de color amarillo conteniendo 100 tabletas,A11GA01,Ácido ascórbico (vit C),A11,A11G
DE0376,CORPORACION ARION SOCIEDAD ANONIMA CERRADA/CORPORACION ARION S.A.C.,E 400 IU (180 MG) 400 IU,MASON VITAMINS INC.,CAPSULA,CAPSULA BLANDA,ESTADOS UNIDOS DE AMERICA,,VITAMINA E (TOCOFEROL) 400.000000 UI,ORAL,"Frasco de Poli tereftalato de etileno (PET) color ámbar conteniendo 30, 50, 100 cápsulas blandas",A11HA03,Tocoferol (vit E),A11,A11H
DE0377,CORPORACION ARION SOCIEDAD ANONIMA CERRADA/CORPORACION ARION S.A.C.,E1000 IU (450MG) 1000 UI,MASON VITAMINS INC.,CAPSULA,CAPSULA BLANDA,ESTADOS UNIDOS DE AMERICA,PROLONGADA,"DL-ALFA ACETATO DE TOCOFEROL 1,000.000000 UI",ORAL,"frasco de politereftalato de etileno (PET) color ámbar con tapa de polietileno de baja densidad color amarillo por 50 y 100 cápsulas blandas,",A11HA03,Tocoferol (vit E),A11,A11H
DE0384,CORPORACION ARION SOCIEDAD ANONIMA CERRADA/CORPORACION ARION S.A.C.,STRESS B-COMPLEX WITH ANTIOXIDANTS + ZINC,MASON VITAMINS INC.,TABLETA,TABLETA,ESTADOS UNIDOS DE AMERICA,INMEDIATA,ACIDO ASCORBICO 500.000000 mg BIOTINA 45.000000 MCG CIANOCOBALAMINA 12.000000 MCG RIBOFLAVINA 10.000000 mg SULFATO DE ZINC 58.990000 mg OXIDO DE COBRE 3.750000 mg FOSFATO DICALCICO 261.920000 mg DL-ALFA ACETATO DE TOCOFERILO 30.000000 UI VITAMINA B1 10.000000 mg VITAMINA B6 5.000000 mg FOLATO 400.000000 MCG ACIDO PANTOTENICO 20.000000 mg NIACINA 100.000000 mg,ORAL,"Frasco de polietileno de alta densidad blanco x 30 y 60 tabletas CAMBIO DE MATERIAL DE ENVASE INMEDIATO (EXP 19037908) A: Frasco de Politereftalato de etileno de color ámbar, conteniendo 30 y 60 tabletas",A11AA03,"Multivitamínicos con otros minerales, incl. combinaciones",A11,A11A
DE0395,CORPORACION ARION SOCIEDAD ANONIMA CERRADA/CORPORACION ARION S.A.C.,FOLIC ACID 800 mcg,MASON VITAMINS INC.,TABLETA,TABLETA,ESTADOS UNIDOS DE AMERICA,INMEDIATA,ACIDO FOLICO 800.000000 MCG,ORAL,"Frasco de Poli (tereftalato de etileno) de color ámbar conteniendo 50, 100, 200 tabletas. Caja de cartulina tríplex conteniendo 30, 60, 100, 120 y 150 tabletas contenidas en blíster de aluminio-PVC/PVDC,",B03BB01,Ácido fólico,B03,B03B
DE0414,CORPORACION ARION SOCIEDAD ANONIMA CERRADA/CORPORACION ARION S.A.C.,SOYA LECITHIN 1200 mg,MASON VITAMINS INC.,CAPSULA,CAPSULA BLANDA,ESTADOS UNIDOS DE AMERICA,PROLONGADA,"LECITINA DE SOJA 1,200.000000 mg",ORAL,"Frasco de politereftalato de etileno, conteniendo 100 cápsulas blandas.",A16,OTROS PRODUCTOS PARA EL TRACTO ALIMENTARIO Y METABOLISMO,A16,A16
DE0421,CORPORACION ARION SOCIEDAD ANONIMA CERRADA/CORPORACION ARION S.A.C.,CALCIUM MAGNESIUM & ZINC .,MASON VITAMINS INC.,TABLETA,TABLETA,ESTADOS UNIDOS DE AMERICA,INMEDIATA,CARBONATO DE CALCIO 835.750000 mg OXIDO DE MAGNESIO 222.230000 mg SULFATO DE ZINC 12.340000 mg,ORAL,"Frasco de Politereftalato de etileno ámbar x 30, 50, 60, 80, 100, 120, 180 y 260 tabletas con tapa de polietileno de baja densidad amarillo",A16A,OTROS PRODUCTOS PARA EL TRACTO ALIMENTARIO Y METABOLISMO,A16,A16A
DE0501,CORPORACION ARION SOCIEDAD ANONIMA CERRADA/CORPORACION ARION S.A.C.,POTASSIUM GLUCONATE 595 mg,MASON VITAMINS INC.,TABLETA,TABLETA,ESTADOS UNIDOS DE AMERICA,INMEDIATA,GLUCONATO POTASIOO 595.000000 mg,ORAL,"Frasco de PEAD ámbar y/o frasco de PET ambar x 30, 50, 80, 100, 120, 150 y 180 tabletas con tapa de PEBD amarillo.",A12BA05,Gluconato de potasio,A12,A12B
DE0512,CORPORACION ARION SOCIEDAD ANONIMA CERRADA/CORPORACION ARION S.A.C.,MAGNESIUM GLUCONATE 550mg,MASON VITAMINS INC.,TABLETA,TABLETA,ESTADOS UNIDOS DE AMERICA,INMEDIATA,GLUCONATO DE MAGNESIO 550.000000 mg,ORAL,"Frasco de poli(tereftalato de etileno) color ámbar conteniendo 30, 50, 90, 100, 180 y 260 tabletas, con tapa de polietileno de baja densidad color amarillo",A12CC03,Gluconato de magnesio,A12,A12C
DE0547,UNIMED DEL PERU S.A.,VITAMINA E 400 UI,PROCAPS S.A.,CAPSULA,CAPSULA BLANDA,COLOMBIA,,DL-ALFA ACETATO DE TOCOFERILO 400.000000 mg,ORAL,"-Caja de cartón x 1, 2, 3, 4, 5, 7, 10, 12, 15, 20, 25, 30, 40, 50, 60, 70, 80, 90, 100, 120, 150 y 200 cápsulas blandas en blister Aluminio/PVDC(PVC-PVDC) incoloro. -Frasco blanco de polietileno de alta densidad con tapa verde de polipropileno de mediana densidad x 10, 20, 30, 40, 50, 60, 80, 90, 100 y 150 cápsulas blandas.",A11HA03,Tocoferol (vit E),A11,A11H
DE0560,CORPORACION ARION SOCIEDAD ANONIMA CERRADA/CORPORACION ARION S.A.C.,CALCIUM CITRATE WITH VITAMIN D3 .,MASON VITAMINS INC.,MILILITRO,TABLETA,ESTADOS UNIDOS DE AMERICA,INMEDIATA,"CITRATO DE CALCIO 1,500.000000 mg VITAMINA D 0.005000 mg",ORAL,Frasco de polipropileno blanco x 60 tabletas. Frasco de politereftalato de etileno de color ámbar x 60 tabletas.,A11AA01,Multivitamínicos con hierro,A11,A11A
DE0582,INRETAIL PHARMA S.A.,FOLIC ACID 400 (MARCA GNC) 400 mcg,"NUTRA MANUFACTURING, LLC",VIAL,TABLETA,ESTADOS UNIDOS DE AMERICA,,ACIDO FOLICO 400.000000 MCG,ORAL,"Frasco de polietileno de alta densidad plomo y/o frasco de vidrio tipo III ámbar x 10, 12, 15, 20, 25, 30, 40, 50, 60, 90, 100, 120, 150, 180, 200, 240, 250, 300, 350, 400, 450 y 500 tabletas",A11AA01,Multivitamínicos con hierro,A11,A11A
DE0637,PROCTER & GAMBLE PERU S.R.L.,ANEMIDOX FERRUM 33.30 mg/mL,ALTEA FARMACEUTICA S.A.,OVULO,SOLUCION,COLOMBIA,,HIERRO AMINOQUELADO 33.300000 mg,ORAL,Caja de cartulina conteniendo un frasco gotero de Polietilentereftalato ámbar x 10 y 30 mL.,B03A,PREPARADOS CON HIERRO,B03,B03A
DE0638,PROCTER & GAMBLE PERU S.R.L.,ANEMIDOX FERRUM 0.15 g/5 mL,ALTEA FARMACEUTICA S.A.,DOSIS 5.00 mL,SUSPENSION,COLOMBIA,PROLONGADA,POR DOSIS 5.00 mL - HIERRO AMINOQUELADO 150.000000 mg,ORAL,Caja de cartulina conteniendo un frasco de Polietileno Tereftalato ámbar x 60 mL y 120 mL,B03A,PREPARADOS CON HIERRO,B03,B03A
DE0644,FARMINDUSTRIA S.A.,DAYAMINERAL,ABBOTT LABORATORIES ARGENTINA S.A.,MILILITRO,JARABE,ARGENTINA,INMEDIATA,"ACIDO ASCORBICO 1.000000 g HIPOFOSFITO DE CALCIO 1.647000 g ALCOHOL DEXTRO-PANTOTENIL 100.000000 mg 5 FOSFATO DE SODIO RIBOFLAVINA 32.900000 mg PALMITATO DE VITAMINA A 60,000.000000 UI LACTATO DE CALCIO 3.168000 g CIANOCOBALAMINA 60.000000 MCG CLORHIDRATO DE CISTEINA 100.000000 mg BITARTRATO DE COLINA 209.000000 mg GLUCONATO FERROSO 518.000000 mg INOSITOL 100.000000 mg GLUCONATO DE MAGNESIO 1.110000 g GLUCONATO DE MANGANESO 87.600000 mg NICOTINAMIDA 200.000000 mg CLORHIDRATO DE PIRIDOXINA 20.000000 mg IODURO DE POTASIO 1.962000 mg CLORHIDRATO DE TIAMINA 30.000000 mg VITAMINA D3 8,000.000000 UI GLUCONATO DE ZINC 78.000000 mg",ORAL,"Caja de cartón con frasco de vidrio tipo III ámbar x 30 mL, 60 mL, 90 mL, 120 mL, 180 mL, 240 mL",B03AE04,"Hierro, multivitaminas y minerales",B03,B03A
DE0660,UNIMED DEL PERU S.A.,VITESOL E 1000 UI,PROCAPS S.A.,CAPSULA,CAPSULA BLANDA,COLOMBIA,INMEDIATA,"ALFA -ACETATO DE TOCOFEROL 1,000.000000 mg",ORAL,"Caja de cartón x 30, 50, 60 y 100 cápsulas en envase blíster de PVC incoloro y aluminio plateado; caja dispensadora de cartón x 100 x 200 cápsulas en envase blíster de PVC incoloro y aluminio plateado",A11HA03,Tocoferol (vit E),A11,A11H
DE0666,UNIMED DEL PERU S.A.,VITESOL E 400UI,PROCAPS S.A.,CAPSULA,CAPSULA BLANDA,COLOMBIA,INMEDIATA,VITAMINA E (TOCOFEROL) 400.000000 mg,ORAL,"Caja de cartón x 30, 50, 60 y 100 cápsulas blandas en empaque blíster de PVC incoloro - aluminio. Caja dispensadora de cartón x 100 y 200 cápsulas blandas en empaque blíster de PVC incoloro - aluminio.",A11HA03,Tocoferol (vit E),A11,A11H
DE0690,ABBOTT LABORATORIOS S.A.,OSMOLITE,ABBOTT LABORATORIES B.V.,OTROS 100.00 mL,SOLUCION ORAL,HOLANDA,INMEDIATA,POR OTROS 100.00 mL - ACEITE DE CANOLA 0.980100 g CASEINATO DE SODIO 3.217500 g CLORURO DE SODIO 0.106500 g SULFATO CUPRICO 0.490000 mg MOLIBDATO DE SODIO 23.097900 MCG SELENATO DE SODIO 15.192600 MCG AISLADO DE PROTEINA DE SOJA 0.724400 g DL-ALFA ACETATO DE TOCOFERILO 2.152100 mg CLORHIDRATO DE TIAMINA 0.308900 mg TRIGLICERIDOS DE CADENA MEDIA 0.660500 g VITAMINA D3 0.894900 MCG CLORHIDRATO DE PIRIDOXINA 0.372800 mg SULFATO DE ZINC 2.876500 mg FILOQUINONA 5.252400 MCG NIACINAMIDA 1.438200 mg CLORURO DE CROMO (III) 14.755800 MCG FOSFATO TRICALCICO 0.149100 g MALTODEXTRINA 13.860000 g PALMITATO DE VITAMINA A 0.298300 mg ACIDO ASCORBICO 18.964200 mg ACIDO FOLICO 37.715300 MCG BIOTINA 5.881000 MCG CITRATO DE POTASIO 0.170400 g CASEINATO DE CALCIO 0.479400 g CIANOCOBALAMINA 0.362200 MCG CLORURO DE COLINA 0.652000 g SULFATO FERROSO 4.357500 mg LECITINA 0.149100 g CLORURO DE MAGNESIO 0.127800 g SULFATO DE MAGNESIO ANHIDRO 30.616700 mg SULFATO DE MANGANESO 1.054700 mg PANTOTENATO DE CALCIO 1.182500 mg ACEITE DE GIRASOL 1.640700 g CLORURO DE POTASIO 0.127800 g FOSFATO DIBASICO DE POTASIO 37.203900 mg HIDROXIDO DE POTASIO 7.319300 mg IODURO DE POTASIO 8.768200 MCG RIBOFLAVINA 0.298300 mg,ORAL,Frasco de polietileno de alta densidad blanco x 1 L,A11AA03,"Multivitamínicos con otros minerales, incl. combinaciones",A11,A11A
DE0761,UNIMED DEL PERU S.A.,SUPRAVITAL Jr. NF,PROCAPS S.A.,DOSIS 5.00 mL,JALEA,COLOMBIA,,POR DOSIS 5.00 mL - ACIDO ASCORBICO 50.000000 mg VITAMINA D3 0.500000 mg GLUCONATO FERROSO DIHIDRATO 138.600000 mg NICOTINAMIDA 10.000000 mg CLORHIDRATO DE PIRIDOXINA 1.600000 mg 5-FOSFATO DE SODIO RIBOFLAVINA 2.740000 mg CLORHIDRATO DE TIAMINA 2.540000 mg PALMITATO DE VITAMINA A 2.000000 mg CIANOCOBALAMINA 5.000000 mg DL-ALFA ACETATO DE TOCOFEROL 8.330000 mg,ORAL,"- Caja de cartón conteniendo frasco PET ámbar x 120 ml con o sin cucharita dosificadora de poliestireno incolora. - Caja de cartón conteniendo frasco de vidrio tipo III ámbar x 30, 60, 120 y 240 ml con cucharita dosificadora de poliestireno incolora.",B03AE03,Hierro y multivitaminas,B03,B03A
DE0790,BERINVEST S.A.C.,SUPER FLEX 2000 500 mg + 400 mg + 100 mg,XTRA LIFE NATURAL PRODUCTS,CAPSULA,CAPSULA,ESTADOS UNIDOS DE AMERICA,INMEDIATA,METILSULFONILMETANO 100.000000 mg GLUCOSAMINA SULFATO CLORURO SODICO 623.350000 mg CONDROITINA SULFATO DE SODIO 444.750000 mg,ORAL,"Frasco de polietileno de alta densidad blanco x 50, 60, 90, 100, 120, 150 y 200 cápsulas",A11AA03,"Multivitamínicos con otros minerales, incl. combinaciones",A11,A11A
DE0793,BERINVEST S.A.C.,CALCIUM CITRATE + D .,XTRA LIFE NATURAL PRODUCTS,TABLETA,TABLETA,ESTADOS UNIDOS DE AMERICA,INMEDIATA,CALCIO 315.000000 mg VITAMINA D3 200.000000 UI,ORAL,"Frasco de polietileno de alta densidad blanco x 50, 60, 90, 100, 120, 150, 200 tabletas",A12AA20,Calcio (diferentes sales en combinación),A12,A12A
DE0796,BERINVEST S.A.C.,VITAMINA E 400 IU,XTRA LIFE NATURAL PRODUCTS,CAPSULA,CAPSULA BLANDA,ESTADOS UNIDOS DE AMERICA,INMEDIATA,VITAMINA E (TOCOFEROL) 400.000000 UI,ORAL,"Frasco de polietileno de alta densidad blanco x 60, 100, 150, 200 cápulas blandas",A11HA03,Tocoferol (vit E),A11,A11H
DE0813,BERINVEST S.A.C.,XTRA SLIM FAT BURNER,XTRA LIFE NATURAL PRODUCTS,TABLETA,TABLETA,ESTADOS UNIDOS DE AMERICA,INMEDIATA,CLORHIDRATO DE BETAINA 25.000000 mg BITARTRATO DE COLINA 100.000000 mg CROMO PICOLINATO 50.000000 MCG INOSITOL 100.000000 mg LECITINA 15.000000 mg DL-METIONINA 100.000000 mg,ORAL,"Frasco de polietileno de alta densidad blanco x 30, 60, 90, 100, 120, 150 y 200 tabletas con y sin caja",V06DE,"Combinaciones de aminoácidos, carbohidratos, minerales y vitaminas",V06,V06D
DE0825,UNIMED DEL PERU S.A.,VITAMINA E 1000 UI,PROCAPS S.A.,CAPSULA,CAPSULA BLANDA,COLOMBIA,INMEDIATA,"DL-ALFA ACETATO DE TOCOFERILO 1,000.000000 mg",ORAL,"Frasco de polietileno de alta densidad ambar y/o blanco x 30, 50 y 100 cápsulas blandas; Frasco de policloruro de vinilo ambar x 30, 50 y 100 cápsulas blandas; Caja de carton plastificado (cartón-polietileno de baja densidad) con 10,30, 50 y 100 cápsulas blandas en blister de policloruro de vinilo incoloro-aluminio. Caja dispensadora de carton plastificado (cartón-polietileno de baja densidad) con 100, 200 y 500 cápsulas blandas en blister de policloruro de vinilo incoloro-aluminio CAMBIO: Caja de cartón con 10, 20, 30, 32, 40, 50, 60 y 64 cápsulas blandas en envase blíster de PVC/PVDC incoloro - aluminio. Frasco PEAD blanco x 10, 20, 30, 40, 50, 60 y 100 cápsulas blandas.",A11HA03,Tocoferol (vit E),A11,A11H
DE0830,BERINVEST S.A.C.,CALCIO- MAGNESIO- ZINC + VIT. D,XTRA LIFE NATURAL PRODUCTS,TABLETA,TABLETA,ESTADOS UNIDOS DE AMERICA,INMEDIATA,CARBONATO DE CALCIO 333.000000 mg OXIDO DE MAGNESIO 133.000000 mg SULFATO DE ZINC 5.000000 mg VITAMINA D3 133.000000 UI,ORAL,"Frasco de polietileno de alta densidad blanco con 30, 60, 90, 100, 120, 150 y 200 tabletas",A11AA03,"Multivitamínicos con otros minerales, incl. combinaciones",A11,A11A
DE0836,SANOFI - AVENTIS DEL PERU S.A.,PHARMATON KIDDI NF,SOHO FLORDIS INTERNATIONAL SWITZERLAND S.A.,MILILITRO,JARABE,SUIZA,,COLECALCIFEROL 400.000000 UI DEXPANTENOL 10.000000 mg NICOTINAMIDA 20.000000 mg CLORHIDRATO DE PIRIDOXINA 6.000000 mg CLORHIDRATO DE TIAMINA 3.000000 mg RIBOFLAVINA FOSFATO SODICO DIHIDRATO 3.500000 mg LACTATO DE CALCIO 999.900000 mg CLORHIDRATO DE LISINA 300.000000 mg ALFA -ACETATO DE TOCOFEROL 15.000000 mg,ORAL,caja de cartón con frasco de vidrio tipo IIIámbar x 30 x 100 y 200 mL con o sin vasito dosificador.,A11AA03,"Multivitamínicos con otros minerales, incl. combinaciones",A11,A11A
DE0845,CORPORACION ARION SOCIEDAD ANONIMA CERRADA/CORPORACION ARION S.A.C.,SUPER CALCIUM 600 + D3 400 .,MASON VITAMINS INC.,TABLETA,TABLETA,ESTADOS UNIDOS DE AMERICA,INMEDIATA,"CARBONATO DE CALCIO 1,498.430000 mg VITAMINA D3 400.000000 UI",ORAL,"Frasco de Politereftalato de etileno de color ámbar, conteniendo 60, 100 y 200 tabletas.",A16,OTROS PRODUCTOS PARA EL TRACTO ALIMENTARIO Y METABOLISMO,A16,A16
DE0850,TERBOL PERU SOCIEDAD ANONIMA CERRADA,VITAMIN E 1000 UI,TERBONOVA INC,CAPSULA,CAPSULA BLANDA,ESTADOS UNIDOS DE AMERICA,INMEDIATA,"VITAMINA E (TOCOFEROL) 1,000.000000 UI",ORAL,"Frasco de polietileno tereftalato (PET) blanco x 60 cápsulas blandas, con tapa de polietileno tereftalato (PET) blanco. Caja de cartulina triplex x 2 y 30 cápsulas blandas en envase blíster de Aluminio/PVDC-PVC incoloro",A11HA03,Tocoferol (vit E),A11,A11H
DE0854,BERINVEST S.A.C.,HGH RELEASING,XTRA LIFE NATURAL PRODUCTS,TABLETA,TABLETA,ESTADOS UNIDOS DE AMERICA,INMEDIATA,CROMO PICOLINATO 0.050000 mg L-ARGININA 325.000000 mg L-GLICINA 125.000000 mg L-GLUTAMINA 125.000000 mg L-LISINA 62.500000 mg L-ORNITINA 125.000000 mg NIACINAMIDA 12.500000 mg ORNITINA ALFA-CETOGLUTARATO 62.500000 mg,ORAL,"Frasco de polietileno de alta densidad blanco con 50, 60, 90, 100,120, 150 y 200 tabletas",A16,OTROS PRODUCTOS PARA EL TRACTO ALIMENTARIO Y METABOLISMO,A16,A16
DE0876,MEGA LABS LATAM S.A.,GLUTAPAK R .,VICTUS INC.,SOBRE 15.00 g,POLVO ORAL,ESTADOS UNIDOS DE AMERICA,INMEDIATA,"POR SOBRE 15.00 g - L-GLUTAMINA 10.000000 g MALTODEXTRINA 5.000000 g LACTOBACILLUS REUTERI 100,000,000.000000 UFC",PER ORAL,sobre de aluminio-polyester-polietileno (verde/blanco) x 15g,V06DD,"Aminoácidos, incl. combinaciones con polipéptidos",V06,V06D
DE0877,BAYER S.A.,BEROCCA PLUS,BAYER S.A.,COMPRIMIDO,COMPRIMIDO RECUBIERTO,ARGENTINA,INMEDIATA,ZINC 10.000000 mg VITAMINA B2 15.000000 mg VITAMINA B6 10.000000 mg VITAMINA B1 15.000000 mg ZINC 10.000000 mg VITAMINA B12 0.010000 mg NICOTINAMIDA 50.000000 mg ACIDO PANTOTENICO 23.000000 mg BIOTINA 0.150000 mg VITAMINA C 500.000000 mg ACIDO FOLICO 0.400000 mg CALCIO 100.000000 mg MAGNESIO 100.000000 mg,PER ORAL,"caja de cartón x 2, 3, 4, 10, 30, 60 y 100 comprimidos recubiertos en envase blíster de PVC/PE/PVDC incoloro y aluminio plateado",A11AA02,Multivitamínicos con calcio,A11,A11A
DE0922,LAB NUTRITION CORP S.A.C.,MAGNESIUM CITRATE (MARCA SOLGAR) 200 mg,SOLGAR INC.,VIAL,TABLETA,ESTADOS UNIDOS DE AMERICA,PROLONGADA,"CITRATO DE MAGNESIO 1,240.000000 mg",PER ORAL,"Frasco de vidrio tipo III ámbar con tapa de aluminio color ámbar, dorado o cobre x 10, 20, 30, 40, 50, 60, 70, 80, 90, 100, 110, 120, 150, 160, 180, 200, 240, 250, 300, 400, 500 y 1000 tabletas, con o sin caja de cartón foldcote, duplex o plastificado.",A16,OTROS PRODUCTOS PARA EL TRACTO ALIMENTARIO Y METABOLISMO,A16,A16
DE0939,INRETAIL PHARMA S.A.,VITAMIN E 400 UI,VITAMINS FOR LIFE LLC,CAPSULA,CAPSULA BLANDA,ESTADOS UNIDOS DE AMERICA,PROLONGADA,DL-ALFA ACETATO DE TOCOFEROL 400.000000 mg,ORAL,"Frasco de polietileno de alta densidad blanco, azul y/o polietileno tereftalato rojo transparente, marrón, bronce, oro, azul y/o polipropileno blanco, azul x 10, 20, 30, 40, 50, 60, 70, 80, 90, 100, 110, 120, 130, 140, 150, 160, 180, 200, 220, 250 y 500 Cápsulas Blandas, con o sin caja de cartulina. Caja de cartón y/o cartulina conteniendo 30 y 60 capsulas blandas en blíster de policloruro de vinilo transparente, con hoja de aluminio por 10 cápsulas blandas. Caja de cartón y/o cartulina conteniendo 30, 45 y 60 cápsulas blandas en blíster de policloruro de vinilo transparente, con hoja de aluminio por 15 capsulas blandas.",A11HA03,Tocoferol (vit E),A11,A11H
