pharmacy,commercial_name,formal_name,registro_sanitario,price,currency,availability,url,sku,brand,source_strategy,scraped_at,stock,component_text,registro_sanitario_source,component_traceable
Boticas Peru,Zinc 50 Frasco 80 Gr,Zinc 50 Frasco 80 Gr,DE2563,42.00,PEN,available,https://www.boticasperu.pe/nutricion/vitaminas_y_minerales/zinc/zinc_50_-_frasco_80_gr/47616.html,47616,,sfcc_search_update_grid,2026-06-08T00:55:40.488646+00:00,,S/ 42.00 Zinc 50 - Frasco 80 Gr,digemid_name_inference,true
Boticas Peru,Polvo Carbonato De Magnesio Pote 130 Gr,Polvo Carbonato De Magnesio Pote 130 Gr,DE4606,69.30,PEN,available,https://www.boticasperu.pe/nutricion/vitaminas_y_minerales/magnesio/polvo_carbonato_de_magnesio_-_pote_130_gr/47435.html,47435,,sfcc_search_update_grid,2026-06-08T00:55:40.492832+00:00,,S/ 69.30 Polvo Carbonato De Magnesio - Pote 130 Gr,digemid_name_inference,true
Boticas Peru,Probiocyan Capsulas Caja 30 Un,Probiocyan Capsulas Caja 30 Un,DE3618,139.00,PEN,available,https://www.boticasperu.pe/nutricion/vitaminas_y_minerales/zinc/probiocyan_capsulas_-_caja_30_un/42609.html,42609,,sfcc_search_update_grid,2026-06-08T00:55:40.495213+00:00,,S/ 139.00 Probiocyan Cápsulas - Caja 30 UN,digemid_name_inference,true
Boticas Peru,Biotina 10%2C000 Plus Keratina 100 Mg Frasco 60 Un,Biotina 10%2C000 Plus Keratina 100 Mg Frasco 60 Un,DE4966,110.89,PEN,available,https://www.boticasperu.pe/nutricion/vitaminas_y_minerales/biotina_10%2C000_plus_keratina_100_mg_-_frasco_60_un/47811.html,47811,,sfcc_search_update_grid,2026-06-08T00:55:40.496084+00:00,,"S/ 110.89 Biotina 10,000 Plus Keratina 100 Mg - Frasco 60 UN",digemid_name_inference,true
Boticas Peru,Calcio Magnesio Zinc Kapok Tabletas Frasco 60 Un,Calcio Magnesio Zinc Kapok Tabletas Frasco 60 Un,DE4606,29.90,PEN,available,https://www.boticasperu.pe/nutricion/vitaminas_y_minerales/calcio_magnesio_zinc_kapok_tabletas_-_frasco_60_un/48395.html,48395,,sfcc_search_update_grid,2026-06-08T00:55:40.496977+00:00,,Precio rebajado de S/ 29.90 a S/ 23.90 -20% Calcio Magnesio Zinc Kapok Tabletas - Frasco 60 UN,digemid_name_inference,true
Boticas Peru,Super Biotina 5000 Mcg Frasco 60 Un,Super Biotina 5000 Mcg Frasco 60 Un,DE3564,86.90,PEN,available,https://www.boticasperu.pe/nutricion/vitaminas_y_minerales/super_biotina_5000_mcg_-_frasco_60_un/38033.html,38033,,sfcc_search_update_grid,2026-06-08T00:55:40.859277+00:00,,S/ 86.90 Súper Biotina 5000 MCG - Frasco 60 UN,digemid_name_inference,true
Boticas Peru,Gomitas Kids Omega 3 Frasco 60 Un,Gomitas Kids Omega 3 Frasco 60 Un,DE3109,37.00,PEN,available,https://www.boticasperu.pe/mama_y_bebe/vitaminas_ninos/gomitas/gomitas_kids_omega_3_-_frasco_60_un/42821.html,42821,,sfcc_search_update_grid,2026-06-08T00:55:40.860139+00:00,,S/ 37.00 Gomitas Kids Omega 3 - Frasco 60 UN,digemid_name_inference,true
Boticas Peru,Suplemento Vitaminico Orthomol Immun Sobre Caja 30 Un,Suplemento Vitaminico Orthomol Immun Sobre Caja 30 Un,DE3686,290.00,PEN,available,https://www.boticasperu.pe/nutricion/vitaminas_y_minerales/multivitaminicos/suplemento_vitaminico_orthomol_immun_sobre_-__caja_30_un/46481.html,46481,,sfcc_search_update_grid,2026-06-08T00:55:40.863563+00:00,,S/ 290.00 Suplemento Vitamínico Orthomol Immun Sobre - Caja 30 UN,digemid_name_inference,true
Boticas Peru,Calcio Magnesio Zinc Frasco 100 Un,Calcio Magnesio Zinc Frasco 100 Un,DE4606,49.90,PEN,available,https://www.boticasperu.pe/nutricion/vitaminas_y_minerales/calcio/calcio_magnesio_zinc_-_frasco_100_un/01946.html,01946,,sfcc_search_update_grid,2026-06-08T00:55:40.869431+00:00,,S/ 49.90 Calcio Magnesio Zinc - Frasco 100 UN,digemid_name_inference,true
Boticas Peru,Citrato De Magnesio 500 Mg Capsulas Frasco 100 Un,Citrato De Magnesio 500 Mg Capsulas Frasco 100 Un,DE4606,45.00,PEN,available,https://www.boticasperu.pe/nutricion/vitaminas_y_minerales/magnesio/citrato_de_magnesio_500_mg_capsulas_-_frasco_100_un/38275.html,38275,,sfcc_search_update_grid,2026-06-08T00:55:40.876279+00:00,,S/ 45.00 Citrato de Magnesio 500 Mg Cápsulas - Frasco 100 UN,digemid_name_inference,true
Boticas Peru,Magnesio Glicinato Plus Capsulas Frasco 60 Un,Magnesio Glicinato Plus Capsulas Frasco 60 Un,DE4606,99.90,PEN,available,https://www.boticasperu.pe/nutricion/vitaminas_y_minerales/magnesio/magnesio_glicinato_plus_capsulas_-_frasco_60_un/49415.html,49415,,sfcc_search_update_grid,2026-06-08T00:55:40.877165+00:00,,S/ 99.90 Magnesio Glicinato Plus Cápsulas - Frasco 60 UN,digemid_name_inference,true
Boticas Peru,Vitavital Citrato De Magnesio Capsulas Frasco 100 Un,Vitavital Citrato De Magnesio Capsulas Frasco 100 Un,DE4606,49.90,PEN,available,https://www.boticasperu.pe/nutricion/vitaminas_y_minerales/magnesio/vitavital_citrato_de_magnesio_capsulas_-_frasco_100_un/47000.html,47000,,sfcc_search_update_grid,2026-06-08T00:55:41.242248+00:00,,S/ 49.90 VitaVital Citrato de Magnesio Cápsulas - Frasco 100 Un,digemid_name_inference,true
